State,District,District code,Latitude,Longitude,Population,Housholds_with_Electric_Lighting,Households_with_Internet,Sex_Ratio,Litrecay_Ratio
Mizoram,Kolasib,282,24.2020004347826,92.73470391304348,83955,14853,367,100.0,80.0
Mizoram,Aizawl,283,23.90781335453101,92.85359459459472,400309,79804,4019,100.0,90.0
Mizoram,Champhai,284,23.54166580976866,93.24221799485862,125745,23948,186,100.0,80.0
Mizoram,Serchhip,285,23.263864705882344,92.914158496732,64937,12315,131,100.0,80.0
Mizoram,Lunglei,286,23.007717036172675,92.63512555425892,161428,26394,482,90.0,80.0
Mizoram,Lawngtlai,287,22.36102843137253,92.66964156862753,117894,9283,162,90.0,50.0
Mizoram,Saiha,288,22.35744801061008,93.02827931034489,56574,7400,168,100.0,70.0
Tripura,West Tripura,289,23.780166241299337,91.41310788863107,1725739,314567,6394,100.0,80.0
Tripura,South Tripura,290,23.211874098057383,91.6065807585568,876001,133744,948,100.0,70.0
Tripura,Dhalai,291,23.781360477941163,91.94654283088232,378230,46875,273,90.0,70.0
Tripura,North Tripura,292,24.121739755351683,92.17842538226292,693947,81601,997,100.0,70.0
Meghalaya,West Garo Hills,293,25.495285185185185,90.03709947089942,643291,51301,1630,100.0,60.0
Meghalaya,East Garo Hills,294,25.82728228228228,90.64684924924916,317917,24550,288,100.0,60.0
Meghalaya,South Garo Hills,295,25.240568578553614,90.64560349127176,142334,10940,179,90.0,60.0
Meghalaya,West Khasi Hills,296,25.500889926739926,91.25364542124538,383461,32873,149,100.0,60.0
Meghalaya,East Khasi Hills,298,25.303763888888884,91.75922519841272,825922,135941,5032,100.0,70.0
Meghalaya,Jaintia Hills,299,25.33959557069844,92.37608160136298,395124,41677,510,100.0,50.0
Assam,Kokrajhar,300,26.497246635730868,90.13997470997688,887142,41373,1218,100.0,60.0
Assam,Goalpara,302,26.017277777777807,90.59869891598912,1008183,78641,1364,100.0,60.0
Assam,Barpeta,303,26.427872264631056,90.97912010178116,1693622,84804,2078,100.0,50.0
Assam,Nagaon,305,26.26462170626351,92.9306191144708,2823768,195631,5121,100.0,60.0
Assam,Sonitpur,306,26.73514926829268,92.85197804878044,1924110,133368,4358,100.0,60.0
Assam,Lakhimpur,307,27.14128805970149,94.0775949253732,1042137,60296,1948,100.0,70.0
Assam,Dhemaji,308,27.586533438485816,94.71336908517353,686133,28195,1192,100.0,60.0
Assam,Tinsukia,309,27.53549291139241,95.69055949367085,1327929,161718,5135,100.0,60.0
Assam,Dibrugarh,310,27.30612284482757,95.0998282327587,1326335,136685,8817,100.0,70.0
Assam,Jorhat,312,26.76244824016563,94.30197722567289,1092256,122063,5651,100.0,70.0
Assam,Golaghat,313,26.377219709794485,93.82583397823468,1066888,82345,3073,100.0,70.0
Assam,Karbi Anglong,314,26.08966454598031,93.11536570271832,956313,53918,1923,100.0,60.0
Assam,Cachar,316,24.815570668693017,92.86849650455927,1736617,140205,5316,100.0,70.0
Assam,Karimganj,317,24.69660712250711,92.3679498575498,1228686,70951,1933,100.0,60.0
Assam,Hailakandi,318,24.457496089385486,92.59154664804475,659296,44143,1211,100.0,60.0
Assam,Bongaigaon,319,26.45012521994133,90.6734296187684,738804,49866,2523,100.0,60.0
Assam,Kamrup,321,26.170939452054807,91.58863273972592,1517542,122191,3109,90.0,70.0
Assam,Nalbari,323,26.46323767605632,91.40598521126763,771639,68313,1631,90.0,70.0
Assam,Darrang,325,26.58463215962442,92.04141338028155,928500,45444,1166,100.0,50.0
West Bengal,Darjiling,327,26.839619571045585,88.33145067024122,1846823,297176,10943,100.0,70.0
West Bengal,Jalpaiguri,328,26.62642031250004,89.04154375000003,3872846,382500,9322,100.0,60.0
West Bengal,Uttar Dinajpur,330,26.044619165196977,88.23595232216337,3007134,199307,2883,90.0,50.0
West Bengal,Dakshin Dinajpur,331,25.342094363021435,88.69821679819614,1676276,168069,2518,100.0,60.0
West Bengal,Maldah,332,25.08026802575105,88.17191684549356,3988845,297716,5357,90.0,50.0
West Bengal,Murshidabad,333,24.25950655391121,88.16816860465121,7103807,541169,7951,100.0,60.0
West Bengal,Birbhum,334,24.06389342723,87.65153089201888,3502404,333752,5210,100.0,60.0
West Bengal,Barddhaman,335,23.444453888888884,87.8150581111111,7717563,1049943,32323,90.0,70.0
West Bengal,Nadia,336,23.56410971055088,88.58293034547152,5167600,623729,12787,90.0,70.0
